"№
сертификата","Дата
внесения
в реестр","Срок
действия
сертификата","Наименование
средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема
сертификации","Испытательная
лаборатория","Орган по
сертификации","Заявитель","Реквизиты заявителя
(индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"3554","05.05.2016","05.05.2019","McAfee Advanced Threat Defence","Соответствует требованиям документов: Требования к САВЗ, Профиль защиты САВЗ(Б пятого класса защиты. ИТ.САВЗ.Б5.ПЗ)","серия","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ЗАО «Научно-производственная  компания «Абитон»","115432, Москва, 2-й Кожуховский проезд, д. 29, корп. 2, стр. 16, эт. 5, помещ. 1, комн. 23, (495) 974-0456",
"3555","25.05.2016","25.05.2019","программный комплекс Citrix XenDesktop 7.X","Соответствует требованиям документов: ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «Лаборатория ППШ»","ООО «СИС груп»","117246, Москва, вн.тер.г. муниципальный округ Черемушки, проезд Научный, д. 17, этаж 8, пом/комн XXIX/36, (495) 229-5607","18.07.2022"
"3556","20.04.2016","20.04.2024","программный комплекс «Kaspersky Security Center совместно с Kaspersky Private Security Network»","Соответствует требованиям документов: Требования доверия(2), Требования к САВЗ, Профиль защиты САВЗ(А второго класса защиты. ИТ.САВЗ.А2.ПЗ)","серия","ЗАО «ВИВОСС и ОИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Лаборатория Касперского»","125212, г. Москва, Ленинградское шоссе, д. 39А, стр. 2, (495) 797-8700","01.03.2022"
"3557","21.04.2016","21.04.2019","программно-аппаратный комплекс «CyberSafemon»","Соответствует требованиям документов: ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Бомбардье Транспортейшн (Сигнал)»","129344, г. Москва, ул. Летчика Бабушкина, влад. 1, стр. 2, (495) 925-5370",
"3558","26.04.2016","26.04.2019","межсетевой экран Check Point R75.40","Соответствует требованиям документов: РД МЭ(4)","1","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Газпромбанк»","117420, Наметкина ул., д. 16, корп. 1, г. Москва, (495) 913-7474",
"3559","26.04.2016","26.04.2019","система управления базами данных «Oracle Database 10g Release (10.2.0.3)»","Соответствует требованиям документов: ТУ","2","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","АО «Газпромбанк»","117420, Наметкина ул., д. 16, корп. 1, г. Москва, (495) 913-7474",
"3560","21.04.2016","21.04.2019","SAP HANA Enterprise Edition 1","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «СИС груп»","117246, Москва, вн.тер.г. муниципальный округ Черемушки, проезд Научный, д. 17, этаж 8, пом/комн XXIX/36, (495) 229-5607",
"3561","20.05.2016","20.05.2019","средство обеспечения доверенного сеанса связи «МАРШ!-2.0»","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","АО «РНТ»","ООО «ЦБИ»","ЗАО «ОКБ САПР»","115114, г. Москва, 2-й Кожевнический переулок, д. 12, эт. 2, пом. I, ком. 21, (495) 994-7262",
"3562","27.04.2016","27.04.2019","СУБД «Oracle Database 11g Release 2 (11.2.0.4)»","Соответствует требованиям документов: ТУ","3","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","АО «Газпромбанк»","117420, Наметкина ул., д. 16, корп. 1, г. Москва, (495) 913-7474",
"3564","20.05.2016","20.05.2019","расчетная часть специального программного обеспечения «Сапфир»","Соответствует требованиям документов: НМД по ТЗИ ВОСП-2005, РД НДВ(3), ТУ","серия","АО «БИТК»","ООО «ЦБИ»","ЗАО НПЦ Фирма «НЕЛК»","109377, г. Москва, ул. 1-я Новокузьминская, дом 8/2, (495) 921-3374",
"3565","12.05.2016","12.05.2019","программное обеспечение «Изделие программное РПО ВПИУК  ИГНД.467511.687»","Соответствует требованиям документов: РД НДВ(2), ТУ","5","МОУ «ИИФ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО КЦ «Атомбезопасность»","115230, г. Москва, пр. Электролитный, влад. 1А, стр. 1, (499) 317-62-18",
"3566","12.07.2016","12.07.2019","Система мониторинга линий связи и блокировки канала передачи данных","Соответствует требованиям документов: РД НДВ(4)","50","ООО «НПП «СВК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Техцентр»","197348, г. Санкт-Петербург, ул. Аэродромная, д. 8, литер А, офис 444, (812) 779-13-67",
"3567","17.05.2016","17.05.2024","генератор шума «ЛГШ-501»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(Б)","серия","АО «Лаборатория ППШ»","Гостехкомиссия России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",
"3568","20.05.2016","20.05.2019","система «Цирконий-С2000»","Соответствует требованиям документов: РД НДВ(2)","серия","ПФ АО «НТЦ «Атлас»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ФНПЦ «ПО «Старт» им. М.В.Проценко»","442960, Пензенская обл., г. Заречный, пр-т Мира, д. 1, (841-2) 23-2853","20.12.2024"
"3569","20.05.2016","20.05.2019","планшетный компьютер «TrusTPad»","Соответствует требованиям документов: ТУ","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","ЗАО «Орион»

ООО «ПК Аквариус»","350007, г. Краснодар, ул. Южная, д. 25, оф. № 28, (495) 653-8351



155098, Ивановская обл., г. Шуя, ул. Свердлова, д. 108-б",
"3570","27.05.2016","27.05.2024","специальное программное обеспечение автоматизированной системы биоидентификации «АССаД-ID»","Соответствует требованиям документов: Требования доверия(3), РД АСФЗ(1)","серия","ФГУП «СКЦ Росатома»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АЛГОНТ»","248009, г. Калуга, Грабцевское шоссе, д. 43, (4842) 58-0707","10.06.2036"
